demand,probs
40811,0.015625
40811,0.015625
13561,0.015625
40811,0.015625
40811,0.015625
28223,0.015625
40811,0.015625
40811,0.015625
40811,0.015625
40811,0.015625
40811,0.015625
20000,0.015625
15172,0.015625
3055,0.015625
40811,0.015625
40811,0.015625
1900,0.015625
40811,0.015625
21976,0.015625
23369,0.015625
500,0.015625
40811,0.015625
164,0.015625
40811,0.015625
40811,0.015625
7985,0.015625
40811,0.015625
900,0.015625
6212,0.015625
304,0.015625
7313,0.015625
33000,0.015625
40811,0.015625
8613,0.015625
40811,0.015625
400,0.015625
520,0.015625
40811,0.015625
3376,0.015625
40811,0.015625
702,0.015625
40811,0.015625
40811,0.015625
300,0.015625
40811,0.015625
40811,0.015625
4597,0.015625
40282,0.015625
659,0.015625
1737,0.015625
40811,0.015625
24000,0.015625
8430,0.015625
40811,0.015625
2384,0.015625
40811,0.015625
40811,0.015625
40811,0.015625
1100,0.015625
20292,0.015625
40811,0.015625
3200,0.015625
1000,0.015625
1401,0.015625
