Type,Lat,Long
warehouses,-17.8237,48.4263
warehouses,-20.5167,47.25
warehouses,-18.9085,47.5375
warehouses,-17.3843,49.4098
warehouses,-16.9167,49.9
warehouses,-15.4309,49.7583
warehouses,-16.1702,49.7741
warehouses,-16.9261,49.5871
warehouses,-25.17613271,46.08937803
warehouses,-25.0316,46.99
warehouses,-24.2064,45.8658
warehouses,-23.35,43.6667
warehouses,-23.4522,45.0781
warehouses,-23.42605,47.05908
warehouses,-22.8167,47.8167
warehouses,-23.3505,47.6088
warehouses,-18.1499,49.4023
warehouses,-16.9504,46.8281
warehouses,-15.7167,46.3167
warehouses,-13.6804,48.4555
warehouses,-18.9608,46.9036
warehouses,-18.0646,44.0295
warehouses,-20.2847,44.3175
warehouses,-14.8833,50.2833
warehouses,-14.2667,50.1667
warehouses,-14.8762,47.9835
warehouses,-22.15,48.0
